World_Bank_Name,Health_exp_pct_GDP_2016,Health_exp_public_pct_2016,Health_exp_out_of_pocket_pct_2016,Health_exp_per_capita_USD_2016,per_capita_exp_PPP_2016,External_health_exp_pct_2016,Total_expense,Physicians_per_1000_2009-18,Nurse_midwife_per_1000_2009-18,Specialist_surgical_per_1000_2008-18,Completeness_of_birth_reg_2009-18,Completeness_of_death_reg_2008-16
Afghanistan,10.2,5.1,77.4,57.2,162.8,17.5,330.2,0.3,0.3,0,42.3,NaN
Albania,6.7,41.4,58,271.5,759.7,0.7,1138,1.2,3.6,11.6,98.4,53
Algeria,6.6,67.7,30.9,260.4,998.2,0,1363.8,1.8,2.2,12.1,100,NaN
Andorra,10.4,49.1,41.7,3834.7,4978.7,NaN,8914.6,3.3,4,83.1,100,80
Angola,2.9,44.1,35.2,95.2,185.8,3.6,366.8,0.2,1.3,NaN,25,NaN
Antigua and Barbuda,4.3,60.6,32.2,623.1,976.4,0,1696.6,2.8,3.1,14,NaN,79
Argentina,7.5,74.4,15.8,955.2,1531,0.6,2584.5,4,2.6,50.1,100,100
Armenia,9.9,16.5,80.6,358.8,876.9,1.7,1344.4,2.9,5.6,86.7,99.3,76
Australia,9.3,68.3,18.9,5002.4,4529.9,0,9628.8,3.6,12.7,45.1,100,100
Austria,10.4,72.5,18.9,4688.3,5295.2,NaN,10085.3,5.1,8.2,109.9,100,100
Azerbaijan,6.9,20,78.9,268.2,1193.1,0.4,1567.5,3.4,7,67.6,NaN,NaN
"Bahamas, The",6.4,49.9,27.7,1835.2,1435.6,0.4,3355.2,1.9,3.1,NaN,NaN,93
Bahrain,4.9,61.4,28,1099.4,1866.3,0,3060,0.9,2.5,14.4,NaN,88
Bangladesh,2.4,18,71.9,34.2,90.6,7.6,224.7,0.5,0.3,2.9,20.2,NaN
Barbados,7,45.9,45.2,1163.8,1323,1.7,2586.6,2.5,6,17.2,99,100
Belarus,6.3,61.4,35.8,318,1151.4,0.2,1573.1,4.1,11.4,124.2,100,100
Belgium,10,84.1,15.9,4149.4,4667.9,0,8927.3,3.3,11.1,89.8,100,100
Belize,6.1,66.3,22.9,303.6,541.4,3.8,944.1,1.1,1.7,10.5,96,100
Benin,3.9,20.5,43.5,30.4,83.5,30.5,212.3,0.2,0.6,1.9,85.6,NaN
Bhutan,3.5,74,20.1,91.3,293.1,4.8,486.8,0.4,1.5,2.9,100,NaN
Bolivia,6.9,65.7,28,213,496.3,3.2,813.1,1.6,0.7,33.9,92,NaN
Bosnia and Herzegovina,9.2,70.8,28.7,443.8,1123.4,0.2,1676.1,2,6.3,32.3,NaN,89
Botswana,5.5,55.9,5.2,379.9,931.3,6.7,1384.5,0.4,3.3,3.6,88,NaN
Brazil,11.8,33.2,43.6,1015.9,1777.5,0.1,2882.1,2.1,9.7,55.5,96,93
Brunei Darussalam,2.3,94.9,5.1,630.6,1812.4,0,2545.3,1.8,6.6,NaN,NaN,89
Bulgaria,8.2,50.6,48,612.5,1577.9,NaN,2297.2,4,5.3,112.7,100,100
Burkina Faso,6.8,40.1,31.4,40.9,115.6,23.5,258.3,0.1,0.6,0.6,76.9,NaN
Burundi,6.2,29.1,30.5,18.5,50.3,38.6,173.2,0.1,0.7,0.4,83.5,NaN
Cabo Verde,5.2,56.8,26,159.1,347.6,15.1,609.8,0.8,1.2,16,91,NaN
Cambodia,6.1,21.8,58.6,77.7,228.6,18.9,411.7,0.2,1,4.2,73.3,NaN
Cameroon,4.7,13.3,69.5,64.5,169.3,9.3,330.6,0.1,0.9,1.2,66,NaN
Canada,10.5,73.4,14.6,4458.2,4718.3,NaN,9275,2.6,9.9,43.9,100,100
Cayman Islands,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,156.8,NaN,NaN
Central African Republic,4.3,14.9,43.1,16.4,29.9,40.9,149.5,0.1,0.2,0.4,61,NaN
Chad,4.5,18.9,61.2,31.7,95,14.6,225.9,0,0.4,0.3,12,NaN
Channel Islands,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,38.7,NaN,NaN
Chile,8.5,58.5,34.8,1190.5,2002,0,3294.3,1.1,0.9,59.3,99,100
China,5,58,35.9,398.3,761.5,0,1258.7,1.8,2.3,40.1,NaN,4
"Hong Kong SAR, China",NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,27.8,NaN,NaN
"Macao SAR, China",NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
Colombia,5.9,62.3,20.2,340.4,829.8,2.1,1260.7,2.1,1.3,22.7,96.8,98
Comoros,7.6,14.6,73.1,59,115.8,10.8,280.9,0.2,0.9,NaN,87.3,NaN
"Congo, Dem. Rep.",3.9,12.3,37.4,20.5,34.5,43.4,152,0.1,0.5,0.2,24.6,NaN
"Congo, Rep.",4.6,42.3,49.7,70.4,263.3,3.3,433.6,0.1,1.7,0.2,96,NaN
Costa Rica,7.6,74.8,22.1,888.9,1248.5,0.3,2242.2,1.1,0.8,25.5,100,91
Cote d'Ivoire,4.4,25.8,40.1,67.6,162.6,15,315.5,0.2,0.9,2.8,72,NaN
Croatia,7.2,78.2,15.4,884.5,1705.2,NaN,2690.5,3,8.1,81.2,100,100
Cuba,12.2,89.6,10.3,970.6,2457.7,0.1,3540.5,8.2,7.8,100.9,100,98
Cyprus,6.9,42.2,44.9,1634.4,2270.8,1.2,4000.4,2,5.3,84.4,100,86
Czech Republic,7.1,81.9,15,1321.6,2484.6,NaN,3910.2,4.3,8.4,124.5,100,100
Denmark,10.4,84.1,13.7,5565.6,5093,NaN,10766.8,4.5,10.3,69,100,98
Djibouti,3.5,45.8,25.8,70.2,122.1,27.8,295.2,0.2,0.5,4.4,NaN,NaN
